fecha,provincia,ccs_promedio_provincial,ufc_promedio_provincial
2014-01-01,Buenos Aires,447,109
2014-02-01,Buenos Aires,483,121
2014-03-01,Buenos Aires,476,115
2014-04-01,Buenos Aires,467,117
2014-05-01,Buenos Aires,467,90
2014-06-01,Buenos Aires,481,99
2014-07-01,Buenos Aires,496,96
2014-08-01,Buenos Aires,486,124
2014-09-01,Buenos Aires,461,114
2014-10-01,Buenos Aires,441,109
2014-11-01,Buenos Aires,465,104
2014-12-01,Buenos Aires,482,93
2015-01-01,Buenos Aires,484,101
2015-02-01,Buenos Aires,493,104
2015-03-01,Buenos Aires,478,68
2015-04-01,Buenos Aires,476,91
2015-05-01,Buenos Aires,465,100
2015-06-01,Buenos Aires,450,88
2015-07-01,Buenos Aires,452,79
2015-08-01,Buenos Aires,447,100
2015-09-01,Buenos Aires,433,85
2015-10-01,Buenos Aires,419,84
2015-11-01,Buenos Aires,426,98
2015-12-01,Buenos Aires,454,111
2016-01-01,Buenos Aires,492,127
2016-02-01,Buenos Aires,523,112
2016-03-01,Buenos Aires,521,78
2016-04-01,Buenos Aires,507,114
2016-05-01,Buenos Aires,508,84
2016-06-01,Buenos Aires,500,85
2016-07-01,Buenos Aires,504,103
2016-08-01,Buenos Aires,437,82
2016-09-01,Buenos Aires,387,50
2016-10-01,Buenos Aires,395,64
2016-11-01,Buenos Aires,365,74
2016-12-01,Buenos Aires,371,73
2017-01-01,Buenos Aires,390,65
2017-02-01,Buenos Aires,437,48
2017-03-01,Buenos Aires,444,79
2017-04-01,Buenos Aires,449,75
2017-05-01,Buenos Aires,469,70
2017-06-01,Buenos Aires,442,61
2017-07-01,Buenos Aires,446,76
2017-08-01,Buenos Aires,410,162
2014-01-01,Córdoba,458,157
2014-02-01,Córdoba,491,177
2014-03-01,Córdoba,547,158
2014-04-01,Córdoba,532,155
2014-05-01,Córdoba,490,148
2014-06-01,Córdoba,446,114
2014-07-01,Córdoba,431,98
2014-08-01,Córdoba,421,106
2014-09-01,Córdoba,404,118
2014-10-01,Córdoba,381,84
2014-11-01,Córdoba,413,134
2014-12-01,Córdoba,410,138
2015-01-01,Córdoba,471,220
2015-02-01,Córdoba,515,226
2015-03-01,Córdoba,529,211
2015-04-01,Córdoba,513,173
2015-05-01,Córdoba,478,165
2015-06-01,Córdoba,448,141
2015-07-01,Córdoba,433,124
2015-08-01,Córdoba,430,158
2015-09-01,Córdoba,422,117
2015-10-01,Córdoba,415,122
2015-11-01,Córdoba,420,151
2015-12-01,Córdoba,444,165
2016-01-01,Córdoba,493,200
2016-02-01,Córdoba,537,193
2016-03-01,Córdoba,565,143
2016-04-01,Córdoba,615,221
2016-05-01,Córdoba,649,188
2016-06-01,Córdoba,585,177
2016-07-01,Córdoba,581,211
2016-08-01,Córdoba,468,172
2016-09-01,Córdoba,421,138
2016-10-01,Córdoba,422,178
2016-11-01,Córdoba,388,112
2016-12-01,Córdoba,380,112
2017-01-01,Córdoba,419,120
2017-02-01,Córdoba,443,57
2017-03-01,Córdoba,488,211
2017-04-01,Córdoba,457,93
2017-05-01,Córdoba,459,93
2017-06-01,Córdoba,400,87
2017-07-01,Córdoba,399,90
2017-08-01,Córdoba,426,108
2014-01-01,Entre Ríos,533,230
2014-02-01,Entre Ríos,619,230
2014-03-01,Entre Ríos,629,208
2014-04-01,Entre Ríos,643,243
2014-05-01,Entre Ríos,610,229
2014-06-01,Entre Ríos,575,106
2014-07-01,Entre Ríos,594,133
2014-08-01,Entre Ríos,571,105
2014-09-01,Entre Ríos,560,166
2014-10-01,Entre Ríos,554,177
2014-11-01,Entre Ríos,554,163
2014-12-01,Entre Ríos,541,143
2015-01-01,Entre Ríos,598,290
2015-02-01,Entre Ríos,609,123
2015-03-01,Entre Ríos,598,153
2015-04-01,Entre Ríos,550,179
2015-05-01,Entre Ríos,526,169
2015-06-01,Entre Ríos,509,90
2015-07-01,Entre Ríos,493,100
2015-08-01,Entre Ríos,518,104
2015-09-01,Entre Ríos,488,131
2015-10-01,Entre Ríos,469,112
2015-11-01,Entre Ríos,485,103
2015-12-01,Entre Ríos,514,96
2016-01-01,Entre Ríos,548,144
2016-02-01,Entre Ríos,571,137
