fecha,provincia,ccs_promedio_nacional,ufc_promedio_nacional,ccs_promedio_provincial,ufc_promedio_provincial
2014-01-01,Nacional,433.0,123.0,,
2014-02-01,Nacional,487.0,165.0,,
2014-03-01,Nacional,524.0,120.0,,
2014-04-01,Nacional,495.0,125.0,,
2014-05-01,Nacional,471.0,102.0,,
2014-06-01,Nacional,433.0,77.0,,
2014-07-01,Nacional,466.0,98.0,,
2014-08-01,Nacional,454.0,107.0,,
2014-09-01,Nacional,395.0,85.0,,
2014-10-01,Nacional,384.0,86.0,,
2014-11-01,Nacional,402.0,88.0,,
2014-12-01,Nacional,413.0,106.0,,
2015-01-01,Nacional,460.0,169.0,,
2015-02-01,Nacional,494.0,155.0,,
2015-03-01,Nacional,497.0,127.0,,
2015-04-01,Nacional,470.0,131.0,,
2015-05-01,Nacional,441.0,138.0,,
2015-06-01,Nacional,423.0,113.0,,
2015-07-01,Nacional,404.0,119.0,,
2015-08-01,Nacional,397.0,147.0,,
2015-09-01,Nacional,387.0,103.0,,
2015-10-01,Nacional,380.0,91.0,,
2015-11-01,Nacional,393.0,125.0,,
2015-12-01,Nacional,425.0,144.0,,
2016-01-01,Nacional,481.0,157.0,,
2016-02-01,Nacional,522.0,184.0,,
2016-03-01,Nacional,542.0,107.0,,
2016-04-01,Nacional,555.0,201.0,,
2016-05-01,Nacional,572.0,153.0,,
2016-06-01,Nacional,524.0,143.0,,
2016-07-01,Nacional,521.0,148.0,,
2016-08-01,Nacional,472.0,133.0,,
2016-09-01,Nacional,421.0,124.0,,
2016-10-01,Nacional,426.0,167.0,,
2016-11-01,Nacional,387.0,101.0,,
2016-12-01,Nacional,404.0,103.0,,
2017-01-01,Nacional,431.0,93.0,,
2017-02-01,Nacional,480.0,158.0,,
2017-03-01,Nacional,497.0,136.0,,
2017-04-01,Nacional,489.0,97.0,,
2017-05-01,Nacional,471.0,98.0,,
2017-06-01,Nacional,442.0,93.0,,
2017-07-01,Nacional,432.0,100.0,,
2017-08-01,Nacional,421.0,113.0,,
2017-09-01,Nacional,364.0,91.0,,
2017-10-01,Nacional,375.0,94.0,,
2017-11-01,Nacional,385.0,93.0,,
2017-12-01,Nacional,418.0,105.0,,
2018-01-01,Nacional,412.0,95.0,,
2018-02-01,Nacional,416.0,83.0,,
2018-03-01,Nacional,390.0,75.0,,
2018-04-01,Nacional,382.0,88.0,,
2018-05-01,Nacional,416.0,91.0,,
2018-06-01,Nacional,401.0,73.0,,
2018-07-01,Nacional,388.0,72.0,,
2018-08-01,Nacional,379.0,80.0,,
2018-09-01,Nacional,363.0,81.0,,
2018-10-01,Nacional,361.0,79.0,,
2018-11-01,Nacional,438.0,119.0,,
2018-12-01,Nacional,423.0,122.0,,
2019-01-01,Nacional,419.0,110.0,,
2019-02-01,Nacional,452.0,99.0,,
2019-03-01,Nacional,432.0,85.0,,
2019-04-01,Nacional,406.0,80.0,,
2014-01-01,Buenos Aires,,,447.0,109.0
2014-02-01,Buenos Aires,,,483.0,121.0
2014-03-01,Buenos Aires,,,476.0,115.0
2014-04-01,Buenos Aires,,,467.0,117.0
2014-05-01,Buenos Aires,,,467.0,90.0
2014-06-01,Buenos Aires,,,481.0,99.0
2014-07-01,Buenos Aires,,,496.0,96.0
2014-08-01,Buenos Aires,,,486.0,124.0
2014-09-01,Buenos Aires,,,461.0,114.0
2014-10-01,Buenos Aires,,,441.0,109.0
2014-11-01,Buenos Aires,,,465.0,104.0
2014-12-01,Buenos Aires,,,482.0,93.0
2015-01-01,Buenos Aires,,,484.0,101.0
2015-02-01,Buenos Aires,,,493.0,104.0
2015-03-01,Buenos Aires,,,478.0,68.0
2015-04-01,Buenos Aires,,,476.0,91.0
2015-05-01,Buenos Aires,,,465.0,100.0
2015-06-01,Buenos Aires,,,450.0,88.0
2015-07-01,Buenos Aires,,,452.0,79.0
2015-08-01,Buenos Aires,,,447.0,100.0
2015-09-01,Buenos Aires,,,433.0,85.0
2015-10-01,Buenos Aires,,,419.0,84.0
2015-11-01,Buenos Aires,,,426.0,98.0
2015-12-01,Buenos Aires,,,454.0,111.0
2016-01-01,Buenos Aires,,,492.0,127.0
2016-02-01,Buenos Aires,,,523.0,112.0
2016-03-01,Buenos Aires,,,521.0,78.0
2016-04-01,Buenos Aires,,,507.0,114.0
2016-05-01,Buenos Aires,,,508.0,84.0
2016-06-01,Buenos Aires,,,500.0,85.0
2016-07-01,Buenos Aires,,,504.0,103.0
2016-08-01,Buenos Aires,,,437.0,82.0
2016-09-01,Buenos Aires,,,387.0,50.0
2016-10-01,Buenos Aires,,,395.0,64.0
2016-11-01,Buenos Aires,,,365.0,74.0
2016-12-01,Buenos Aires,,,371.0,73.0
2017-01-01,Buenos Aires,,,390.0,65.0
2017-02-01,Buenos Aires,,,437.0,48.0
2017-03-01,Buenos Aires,,,444.0,79.0
2017-04-01,Buenos Aires,,,449.0,75.0
2017-05-01,Buenos Aires,,,469.0,70.0
2017-06-01,Buenos Aires,,,442.0,61.0
2017-07-01,Buenos Aires,,,446.0,76.0
2017-08-01,Buenos Aires,,,410.0,162.0
2014-01-01,Córdoba,,,458.0,157.0
2014-02-01,Córdoba,,,491.0,177.0
2014-03-01,Córdoba,,,547.0,158.0
2014-04-01,Córdoba,,,532.0,155.0
2014-05-01,Córdoba,,,490.0,148.0
2014-06-01,Córdoba,,,446.0,114.0
2014-07-01,Córdoba,,,431.0,98.0
2014-08-01,Córdoba,,,421.0,106.0
2014-09-01,Córdoba,,,404.0,118.0
2014-10-01,Córdoba,,,381.0,84.0
2014-11-01,Córdoba,,,413.0,134.0
2014-12-01,Córdoba,,,410.0,138.0
2015-01-01,Córdoba,,,471.0,220.0
2015-02-01,Córdoba,,,515.0,226.0
2015-03-01,Córdoba,,,529.0,211.0
2015-04-01,Córdoba,,,513.0,173.0
2015-05-01,Córdoba,,,478.0,165.0
2015-06-01,Córdoba,,,448.0,141.0
2015-07-01,Córdoba,,,433.0,124.0
2015-08-01,Córdoba,,,430.0,158.0
2015-09-01,Córdoba,,,422.0,117.0
2015-10-01,Córdoba,,,415.0,122.0
2015-11-01,Córdoba,,,420.0,151.0
2015-12-01,Córdoba,,,444.0,165.0
2016-01-01,Córdoba,,,493.0,200.0
2016-02-01,Córdoba,,,537.0,193.0
2016-03-01,Córdoba,,,565.0,143.0
2016-04-01,Córdoba,,,615.0,221.0
2016-05-01,Córdoba,,,649.0,188.0
2016-06-01,Córdoba,,,585.0,177.0
2016-07-01,Córdoba,,,581.0,211.0
2016-08-01,Córdoba,,,468.0,172.0
2016-09-01,Córdoba,,,421.0,138.0
2016-10-01,Córdoba,,,422.0,178.0
2016-11-01,Córdoba,,,388.0,112.0
2016-12-01,Córdoba,,,380.0,112.0
2017-01-01,Córdoba,,,419.0,120.0
2017-02-01,Córdoba,,,443.0,57.0
2017-03-01,Córdoba,,,488.0,211.0
2017-04-01,Córdoba,,,457.0,93.0
2017-05-01,Córdoba,,,459.0,93.0
2017-06-01,Córdoba,,,400.0,87.0
2017-07-01,Córdoba,,,399.0,90.0
2017-08-01,Córdoba,,,426.0,108.0
2014-01-01,Entre Ríos,,,533.0,230.0
2014-02-01,Entre Ríos,,,619.0,230.0
2014-03-01,Entre Ríos,,,629.0,208.0
2014-04-01,Entre Ríos,,,643.0,243.0
2014-05-01,Entre Ríos,,,610.0,229.0
2014-06-01,Entre Ríos,,,575.0,106.0
2014-07-01,Entre Ríos,,,594.0,133.0
2014-08-01,Entre Ríos,,,571.0,105.0
2014-09-01,Entre Ríos,,,560.0,166.0
2014-10-01,Entre Ríos,,,554.0,177.0
2014-11-01,Entre Ríos,,,554.0,163.0
2014-12-01,Entre Ríos,,,541.0,143.0
2015-01-01,Entre Ríos,,,598.0,290.0
2015-02-01,Entre Ríos,,,609.0,123.0
2015-03-01,Entre Ríos,,,598.0,153.0
2015-04-01,Entre Ríos,,,550.0,179.0
2015-05-01,Entre Ríos,,,526.0,169.0
2015-06-01,Entre Ríos,,,509.0,90.0
2015-07-01,Entre Ríos,,,493.0,100.0
2015-08-01,Entre Ríos,,,518.0,104.0
2015-09-01,Entre Ríos,,,488.0,131.0
2015-10-01,Entre Ríos,,,469.0,112.0
2015-11-01,Entre Ríos,,,485.0,103.0
2015-12-01,Entre Ríos,,,514.0,96.0
2016-01-01,Entre Ríos,,,548.0,144.0
2016-02-01,Entre Ríos,,,571.0,137.0
2016-03-01,Entre Ríos,,,598.0,126.0
2016-04-01,Entre Ríos,,,647.0,159.0
2016-05-01,Entre Ríos,,,704.0,147.0
2016-06-01,Entre Ríos,,,634.0,142.0
2016-07-01,Entre Ríos,,,652.0,236.0
2016-08-01,Entre Ríos,,,628.0,170.0
2016-09-01,Entre Ríos,,,577.0,139.0
2016-10-01,Entre Ríos,,,610.0,231.0
2016-11-01,Entre Ríos,,,474.0,128.0
2016-12-01,Entre Ríos,,,468.0,138.0
2017-01-01,Entre Ríos,,,462.0,104.0
2017-02-01,Entre Ríos,,,452.0,50.0
2017-03-01,Entre Ríos,,,628.0,149.0
2017-04-01,Entre Ríos,,,625.0,131.0
2017-05-01,Entre Ríos,,,502.0,256.0
2017-06-01,Entre Ríos,,,404.0,115.0
2017-07-01,Entre Ríos,,,610.0,173.0
2017-08-01,Entre Ríos,,,415.0,112.0
2014-01-01,La Pampa,,,371.0,79.0
2014-02-01,La Pampa,,,377.0,100.0
2014-03-01,La Pampa,,,379.0,74.0
2014-04-01,La Pampa,,,401.0,95.0
2014-05-01,La Pampa,,,409.0,96.0
2014-06-01,La Pampa,,,375.0,64.0
2014-07-01,La Pampa,,,407.0,83.0
2014-08-01,La Pampa,,,386.0,78.0
2014-09-01,La Pampa,,,388.0,101.0
2014-10-01,La Pampa,,,396.0,112.0
2014-11-01,La Pampa,,,402.0,91.0
2014-12-01,La Pampa,,,412.0,116.0
2015-01-01,La Pampa,,,412.0,108.0
