indice-de-tiempo,pais_id,pais,producto_id,producto,unidad_de medida,cantidad
2013-1,32,Argentina,2211,Leche cruda,miles de células,448
2013-2,32,Argentina,2211,Leche cruda,miles de células,450
2013-3,32,Argentina,2211,Leche cruda,miles de células,417
2013-4,32,Argentina,2211,Leche cruda,miles de células,410
2013-5,32,Argentina,2211,Leche cruda,miles de células,388
2013-6,32,Argentina,2211,Leche cruda,miles de células,396
2013-7,32,Argentina,2211,Leche cruda,miles de células,359
2013-8,32,Argentina,2211,Leche cruda,miles de células,341
2013-9,32,Argentina,2211,Leche cruda,miles de células,322
2013-10,32,Argentina,2211,Leche cruda,miles de células,328
2013-11,32,Argentina,2211,Leche cruda,miles de células,354
2013-12,32,Argentina,2211,Leche cruda,miles de células,379
2014-1,32,Argentina,2211,Leche cruda,miles de células,433
2014-2,32,Argentina,2211,Leche cruda,miles de células,487
2014-3,32,Argentina,2211,Leche cruda,miles de células,524
2014-4,32,Argentina,2211,Leche cruda,miles de células,495
2014-5,32,Argentina,2211,Leche cruda,miles de células,471
2014-6,32,Argentina,2211,Leche cruda,miles de células,433
2014-7,32,Argentina,2211,Leche cruda,miles de células,466
2014-8,32,Argentina,2211,Leche cruda,miles de células,454
2014-9,32,Argentina,2211,Leche cruda,miles de células,395
2014-10,32,Argentina,2211,Leche cruda,miles de células,384
2014-11,32,Argentina,2211,Leche cruda,miles de células,402
2014-12,32,Argentina,2211,Leche cruda,miles de células,413
2015-1,32,Argentina,2211,Leche cruda,miles de células,460
2015-2,32,Argentina,2211,Leche cruda,miles de células,494
2015-3,32,Argentina,2211,Leche cruda,miles de células,497
2015-4,32,Argentina,2211,Leche cruda,miles de células,470
2015-5,32,Argentina,2211,Leche cruda,miles de células,441
2015-6,32,Argentina,2211,Leche cruda,miles de células,423
2015-7,32,Argentina,2211,Leche cruda,miles de células,404
2015-8,32,Argentina,2211,Leche cruda,miles de células,397
2015-9,32,Argentina,2211,Leche cruda,miles de células,387
2015-10,32,Argentina,2211,Leche cruda,miles de células,380
2015-11,32,Argentina,2211,Leche cruda,miles de células,393
2015-12,32,Argentina,2211,Leche cruda,miles de células,425
2016-1,32,Argentina,2211,Leche cruda,miles de células,481
2016-2,32,Argentina,2211,Leche cruda,miles de células,522
2016-3,32,Argentina,2211,Leche cruda,miles de células,542
2016-4,32,Argentina,2211,Leche cruda,miles de células,555
2016-5,32,Argentina,2211,Leche cruda,miles de células,572
2016-6,32,Argentina,2211,Leche cruda,miles de células,524
2016-7,32,Argentina,2211,Leche cruda,miles de células,521
2016-8,32,Argentina,2211,Leche cruda,miles de células,472
2016-9,32,Argentina,2211,Leche cruda,miles de células,421
2016-10,32,Argentina,2211,Leche cruda,miles de células,426
2016-11,32,Argentina,2211,Leche cruda,miles de células,387
2016-12,32,Argentina,2211,Leche cruda,miles de células,404
2017-1,32,Argentina,2211,Leche cruda,miles de células,431
2017-2,32,Argentina,2211,Leche cruda,miles de células,480
2017-3,32,Argentina,2211,Leche cruda,miles de células,497
2017-4,32,Argentina,2211,Leche cruda,miles de células,489
2017-5,32,Argentina,2211,Leche cruda,miles de células,471
2017-6,32,Argentina,2211,Leche cruda,miles de células,442
2017-7,32,Argentina,2211,Leche cruda,miles de células,432
2017-8,32,Argentina,2211,Leche cruda,miles de células,421
2017-9,32,Argentina,2211,Leche cruda,miles de células,364
2017-10,32,Argentina,2211,Leche cruda,miles de células,375
2017-11,32,Argentina,2211,Leche cruda,miles de células,385
2017-12,32,Argentina,2211,Leche cruda,miles de células,418
2018-1,32,Argentina,2211,Leche cruda,miles de células,412
2018-2,32,Argentina,2211,Leche cruda,miles de células,416
2018-3,32,Argentina,2211,Leche cruda,miles de células,390
2018-4,32,Argentina,2211,Leche cruda,miles de células,382
2018-5,32,Argentina,2211,Leche cruda,miles de células,416
2018-6,32,Argentina,2211,Leche cruda,miles de células,401
2018-7,32,Argentina,2211,Leche cruda,miles de células,388
2018-8,32,Argentina,2211,Leche cruda,miles de células,379
2018-9,32,Argentina,2211,Leche cruda,miles de células,363
2018-10,32,Argentina,2211,Leche cruda,miles de células,361
2018-11,32,Argentina,2211,Leche cruda,miles de células,438
2018-12,32,Argentina,2211,Leche cruda,miles de células,423
2019-1,32,Argentina,2211,Leche cruda,miles de células,419
2019-2,32,Argentina,2211,Leche cruda,miles de células,452
2019-3,32,Argentina,2211,Leche cruda,miles de células,432
2019-4,32,Argentina,2211,Leche cruda,miles de células,406
