indice-de-tiempo,pais_id,pais,producto_id,producto,unidad_de medida,cantidad
2013-1,32,Argentina,2211,Leche cruda,miles de unidades,131
2013-2,32,Argentina,2211,Leche cruda,miles de unidades,137
2013-3,32,Argentina,2211,Leche cruda,miles de unidades,119
2013-4,32,Argentina,2211,Leche cruda,miles de unidades,122
2013-5,32,Argentina,2211,Leche cruda,miles de unidades,108
2013-6,32,Argentina,2211,Leche cruda,miles de unidades,109
2013-7,32,Argentina,2211,Leche cruda,miles de unidades,81
2013-8,32,Argentina,2211,Leche cruda,miles de unidades,75
2013-9,32,Argentina,2211,Leche cruda,miles de unidades,91
2013-10,32,Argentina,2211,Leche cruda,miles de unidades,92
2013-11,32,Argentina,2211,Leche cruda,miles de unidades,126
2013-12,32,Argentina,2211,Leche cruda,miles de unidades,115
2014-1,32,Argentina,2211,Leche cruda,miles de unidades,123
2014-2,32,Argentina,2211,Leche cruda,miles de unidades,165
2014-3,32,Argentina,2211,Leche cruda,miles de unidades,120
2014-4,32,Argentina,2211,Leche cruda,miles de unidades,125
2014-5,32,Argentina,2211,Leche cruda,miles de unidades,102
2014-6,32,Argentina,2211,Leche cruda,miles de unidades,77
2014-7,32,Argentina,2211,Leche cruda,miles de unidades,98
2014-8,32,Argentina,2211,Leche cruda,miles de unidades,107
2014-9,32,Argentina,2211,Leche cruda,miles de unidades,85
2014-10,32,Argentina,2211,Leche cruda,miles de unidades,86
2014-11,32,Argentina,2211,Leche cruda,miles de unidades,88
2014-12,32,Argentina,2211,Leche cruda,miles de unidades,106
2015-1,32,Argentina,2211,Leche cruda,miles de unidades,169
2015-2,32,Argentina,2211,Leche cruda,miles de unidades,155
2015-3,32,Argentina,2211,Leche cruda,miles de unidades,127
2015-4,32,Argentina,2211,Leche cruda,miles de unidades,131
2015-5,32,Argentina,2211,Leche cruda,miles de unidades,138
2015-6,32,Argentina,2211,Leche cruda,miles de unidades,113
2015-7,32,Argentina,2211,Leche cruda,miles de unidades,119
2015-8,32,Argentina,2211,Leche cruda,miles de unidades,147
2015-9,32,Argentina,2211,Leche cruda,miles de unidades,103
2015-10,32,Argentina,2211,Leche cruda,miles de unidades,91
2015-11,32,Argentina,2211,Leche cruda,miles de unidades,125
2015-12,32,Argentina,2211,Leche cruda,miles de unidades,144
2016-1,32,Argentina,2211,Leche cruda,miles de unidades,157
2016-2,32,Argentina,2211,Leche cruda,miles de unidades,184
2016-3,32,Argentina,2211,Leche cruda,miles de unidades,107
2016-4,32,Argentina,2211,Leche cruda,miles de unidades,201
2016-5,32,Argentina,2211,Leche cruda,miles de unidades,153
2016-6,32,Argentina,2211,Leche cruda,miles de unidades,143
2016-7,32,Argentina,2211,Leche cruda,miles de unidades,148
2016-8,32,Argentina,2211,Leche cruda,miles de unidades,133
2016-9,32,Argentina,2211,Leche cruda,miles de unidades,124
2016-10,32,Argentina,2211,Leche cruda,miles de unidades,167
2016-11,32,Argentina,2211,Leche cruda,miles de unidades,101
2016-12,32,Argentina,2211,Leche cruda,miles de unidades,103
2017-1,32,Argentina,2211,Leche cruda,miles de unidades,93
2017-2,32,Argentina,2211,Leche cruda,miles de unidades,158
2017-3,32,Argentina,2211,Leche cruda,miles de unidades,136
2017-4,32,Argentina,2211,Leche cruda,miles de unidades,97
2017-5,32,Argentina,2211,Leche cruda,miles de unidades,98
2017-6,32,Argentina,2211,Leche cruda,miles de unidades,93
2017-7,32,Argentina,2211,Leche cruda,miles de unidades,100
2017-8,32,Argentina,2211,Leche cruda,miles de unidades,113
2017-9,32,Argentina,2211,Leche cruda,miles de unidades,91
2017-10,32,Argentina,2211,Leche cruda,miles de unidades,94
2017-11,32,Argentina,2211,Leche cruda,miles de unidades,93
2017-12,32,Argentina,2211,Leche cruda,miles de unidades,105
2018-1,32,Argentina,2211,Leche cruda,miles de unidades,95
2018-2,32,Argentina,2211,Leche cruda,miles de unidades,83
2018-3,32,Argentina,2211,Leche cruda,miles de unidades,75
2018-4,32,Argentina,2211,Leche cruda,miles de unidades,88
2018-5,32,Argentina,2211,Leche cruda,miles de unidades,91
2018-6,32,Argentina,2211,Leche cruda,miles de unidades,73
2018-7,32,Argentina,2211,Leche cruda,miles de unidades,72
2018-8,32,Argentina,2211,Leche cruda,miles de unidades,80
2018-9,32,Argentina,2211,Leche cruda,miles de unidades,81
2018-10,32,Argentina,2211,Leche cruda,miles de unidades,79
2018-11,32,Argentina,2211,Leche cruda,miles de unidades,119
2018-12,32,Argentina,2211,Leche cruda,miles de unidades,122
2019-1,32,Argentina,2211,Leche cruda,miles de unidades,110
2019-2,32,Argentina,2211,Leche cruda,miles de unidades,99
2019-3,32,Argentina,2211,Leche cruda,miles de unidades,85
2019-4,32,Argentina,2211,Leche cruda,miles de unidades,80
