indice-de-tiempo,pais_id,pais,provincia_id,provincia,producto_id,producto,unidad_de medida,cantidad
2014-01,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,447
2014-02,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,483
2014-03,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,476
2014-04,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,467
2014-05,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,467
2014-06,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,481
2014-07,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,496
2014-08,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,486
2014-09,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,461
2014-10,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,441
2014-11,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,465
2014-12,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,482
2015-01,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,484
2015-02,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,493
2015-03,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,478
2015-04,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,476
2015-05,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,465
2015-06,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,450
2015-07,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,452
2015-08,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,447
2015-09,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,433
2015-10,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,419
2015-11,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,426
2015-12,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,454
2016-01,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,492
2016-02,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,523
2016-03,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,521
2016-04,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,507
2016-05,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,508
2016-06,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,500
2016-07,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,504
2016-08,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,437
2016-09,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,387
2016-10,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,395
2016-11,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,365
2016-12,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,371
2017-01,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,390
2017-02,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,437
2017-03,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,444
2017-04,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,449
2017-05,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,469
2017-06,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,442
2017-07,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,446
2017-08,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de células,410
2014-01,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,458
2014-02,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,491
2014-03,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,547
2014-04,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,532
2014-05,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,490
2014-06,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,446
2014-07,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,431
2014-08,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,421
2014-09,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,404
2014-10,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,381
2014-11,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,413
2014-12,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,410
2015-01,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,471
2015-02,32,Argentina,14,Córdoba,2211,Leche cruda,miles de células,515
